id,address,latitude,longitude
12893,"1273 Bantham St, Mississauga, ON L5V 1P7",43.588656,-79.691242
9023,"5275 Brookwood Ct, Mississauga, ON L5V 2N8",43.59749806,-79.68E546
31,"213 Ashworth Ave, Toronto, ON M6G 2A6",43.67488,-79.421324
4,"123 Lambertlodge Ave, Toronto, ON M6G 3X4",43.673021,-79.420481
52098,"75 Yarmouth Rd, Toronto, ON M6G 1X1", ,-79.4019354
2301,"78 Pendrith St, Toronto, ON M6G 1R7",43.6684007,-79.423162
23579,"40 Pendrith St, Toronto, ON M6G 1R7",43.667134,-79.422068
8921,"507 Concord Ave, Toronto, ON M6H 2P9",43.6601931,-79.42913
10,"309 Kane Ave, York, ON M6M 3N9",43.688134,-79.469105
2042,"101 Silverthorn Ave, Toronto, ON M6N 3J9",43.676675,-79.460876
304,"103 Silverthorn Ave, Toronto, ON M6N 3J9",43.6767I4,-79.461046
18932,"670 Mortimer Ave, East York, ON M4C 2J8",43.692018, 
3819,"Silverthorn Ave, Toronto, ON", 43.6924I4,-79.4610392
40139, ,43.69014134,-79.4200468
3842,"Concord Ave, Toronto, ON", 43.692414,-79.4610392

